monthyear,labforceparticipation
Jan 2000,64.9
Feb 2000,63.9
Mar 2000,65.2
Apr 2000,66.1
May 2000,63.4
Jun 2000,64.9
Jul 2000,65.4
Aug 2000,64.3
Sep 2000,63.5
Oct 2000,63.4
Nov 2000,63.8
Dec 2000,65.0
Jan 2001,64.0
Feb 2001,61.9
Mar 2001,62.9
Apr 2001,64.1
May 2001,68.6
Jun 2001,67.3
Jul 2001,68.5
Aug 2001,68.4
Sep 2001,65.0
Oct 2001,65.8
Nov 2001,63.4
Dec 2001,63.2
Jan 2002,61.7
Feb 2002,63.6
Mar 2002,66.5
Apr 2002,63.2
May 2002,63.6
Jun 2002,67.0
Jul 2002,66.3
Aug 2002,65.5
Sep 2002,64.9
Oct 2002,65.6
Nov 2002,66.4
Dec 2002,65.6
Jan 2003,64.3
Feb 2003,65.8
Mar 2003,66.5
Apr 2003,65.1
May 2003,66.8
Jun 2003,67.5
Jul 2003,65.7
Aug 2003,63.1
Sep 2003,60.2
Oct 2003,61.3
Nov 2003,62.6
Dec 2003,63.9
Jan 2004,62.8
Feb 2004,64.8
Mar 2004,64.6
Apr 2004,64.0
May 2004,66.1
Jun 2004,67.0
Jul 2004,68.0
Aug 2004,65.7
Sep 2004,59.9
Oct 2004,60.3
Nov 2004,60.5
Dec 2004,62.2
Jan 2005,62.0
Feb 2005,61.1
Mar 2005,63.3
Apr 2005,66.2
May 2005,63.0
Jun 2005,65.5
Jul 2005,65.8
Aug 2005,63.1
Sep 2005,63.9
Oct 2005,63.5
Nov 2005,61.8
Dec 2005,62.5
Jan 2006,61.3
Feb 2006,63.4
Mar 2006,61.3
Apr 2006,60.6
May 2006,63.3
Jun 2006,64.1
Jul 2006,64.5
Aug 2006,64.6
Sep 2006,63.4
Oct 2006,65.2
Nov 2006,63.0
Dec 2006,62.4
Jan 2007,60.5
Feb 2007,63.8
Mar 2007,65.9
Apr 2007,65.4
May 2007,64.2
Jun 2007,62.8
Jul 2007,63.2
Aug 2007,64.4
Sep 2007,63.5
Oct 2007,62.5
Nov 2007,61.6
Dec 2007,61.5
Jan 2008,61.4
Feb 2008,64.6
Mar 2008,65.4
Apr 2008,64.8
May 2008,62.1
Jun 2008,65.2
Jul 2008,62.6
Aug 2008,60.5
Sep 2008,63.7
Oct 2008,64.5
Nov 2008,64.3
Dec 2008,65.5
Jan 2009,64.4
Feb 2009,60.9
Mar 2009,60.3
Apr 2009,58.6
May 2009,58.1
Jun 2009,58.0
Jul 2009,58.1
Aug 2009,58.3
Sep 2009,58.4
Oct 2009,58.7
Nov 2009,56.5
Dec 2009,57.5
Jan 2010,57.8
Feb 2010,58.8
Mar 2010,61.6
Apr 2010,58.9
May 2010,57.9
Jun 2010,56.7
Jul 2010,55.4
Aug 2010,57.2
Sep 2010,56.3
Oct 2010,57.2
Nov 2010,56.7
Dec 2010,57.6
Jan 2011,62.0
Feb 2011,59.1
Mar 2011,61.0
Apr 2011,60.0
May 2011,58.6
Jun 2011,58.1
Jul 2011,58.5
Aug 2011,59.2
Sep 2011,59.0
Oct 2011,57.9
Nov 2011,58.7
Dec 2011,57.9
Jan 2012,57.5
Feb 2012,58.7
Mar 2012,59.7
Apr 2012,58.6
May 2012,58.9
Jun 2012,60.0
Jul 2012,60.4
Aug 2012,58.6
Sep 2012,60.3
Oct 2012,60.6
Nov 2012,59.4
Dec 2012,59.2
Jan 2013,55.6
Feb 2013,58.5
Mar 2013,59.7
Apr 2013,59.7
May 2013,60.0
Jun 2013,60.0
Jul 2013,59.9
Aug 2013,58.5
Sep 2013,60.2
Oct 2013,60.3
Nov 2013,59.9
Dec 2013,58.1
Jan 2014,56.9
Feb 2014,58.7
Mar 2014,60.2
Apr 2014,57.8
May 2014,61.1
Jun 2014,60.6
Jul 2014,62.1
Aug 2014,62.0
Sep 2014,60.7
Oct 2014,63.9
Nov 2014,61.8
Dec 2014,63.1
Jan 2015,63.5
Feb 2015,60.9
Mar 2015,61.7
Apr 2015,57.7
May 2015,58.2
Jun 2015,59.1
Jul 2015,61.2
Aug 2015,61.8
Sep 2015,62.5
Oct 2015,61.5
Nov 2015,59.4
Dec 2015,59.6
Jan 2016,59.4
Feb 2016,60.8
Mar 2016,61.2
Apr 2016,58.6
May 2016,59.5
Jun 2016,59.5
Jul 2016,59.5
Aug 2016,61.1
Sep 2016,64.9
Oct 2016,63.2
Nov 2016,63.4
Dec 2016,62.3
Jan 2017,60.0
Feb 2017,62.2
Mar 2017,60.7
Apr 2017,58.6
May 2017,58.9
Jun 2017,60.7
Jul 2017,61.8
Aug 2017,60.4
Sep 2017,61.2
Oct 2017,61.2
Nov 2017,58.5
Dec 2017,59.0
Jan 2018,57.4
Feb 2018,57.8
Mar 2018,59.9
Apr 2018,59.5
May 2018,60.6
Jun 2018,61.8
Jul 2018,61.6
Aug 2018,60.8
Sep 2018,59.3
Oct 2018,59.2
Nov 2018,58.4
Dec 2018,58.7
Jan 2019,58.2
Feb 2019,60.5
Mar 2019,61.4
Apr 2019,60.8
May 2019,60.3
Jun 2019,61.8
Jul 2019,62.0
Aug 2019,61.8
Sep 2019,60.2
Oct 2019,59.8
Nov 2019,62.6
Dec 2019,60.2
Jan 2020,60.3
Feb 2020,58.6
Mar 2020,58.6
Apr 2020,59.4
May 2020,59.0
Jun 2020,60.8
Jul 2020,60.4
Aug 2020,59.8
Sep 2020,59.8
Oct 2020,59.2
Nov 2020,58.3
Dec 2020,58.1
Jan 2021,57.0
Feb 2021,61.0
Mar 2021,60.0
Apr 2021,59.6
May 2021,62.4
Jun 2021,62.6
Jul 2021,62.5
Aug 2021,59.3
Sep 2021,60.3
Oct 2021,60.2
Nov 2021,60.7
Dec 2021,60.4
Jan 2022,59.3
Feb 2022,60.9
Mar 2022,59.8
Apr 2022,58.8
May 2022,59.8
Jun 2022,61.7
Jul 2022,60.7
Aug 2022,62.3
Sep 2022,60.3
Oct 2022,58.9
Nov 2022,57.6
Dec 2022,55.8
