Time,Average Age,Average Weekly Earnings,Male Proportion,Female Proportion,Survey Size
dec22,35.988132911392405,0.0063291139240506,0.4818037974683544,0.5181962025316456,1264.0
nov22,35.37080405932865,0.0015612802498048,0.4637002341920375,0.5362997658079626,1281.0
oct22,35.313455657492355,0.0038226299694189,0.4625382262996942,0.5374617737003058,1308.0
sep22,35.10622710622711,0.0043956043956043,0.4578754578754578,0.5421245421245421,1365.0
aug22,34.534184823441024,0.0015026296018031,0.4770848985725018,0.5229151014274981,1331.0
jul22,34.35245283018868,0.0015094339622641,0.4852830188679245,0.5147169811320754,1325.0
jun22,34.56103108415466,0.0007581501137225,0.4859742228961334,0.5140257771038665,1319.0
may22,33.9064039408867,0.0028149190710767,0.4961294862772695,0.5038705137227305,1421.0
apr22,33.39408528198074,0.0027510316368638,0.4869325997248968,0.5130674002751031,1454.0
mar22,33.28324099722992,0.0020775623268698,0.4826869806094183,0.5173130193905817,1444.0
feb22,33.322851153039835,0.0013976240391334,0.4814814814814814,0.5185185185185185,1431.0
jan22,34.20422004521477,0.0007535795026375,0.4709871891484551,0.5290128108515448,1327.0
dec21,34.698484848484846,0.0015151515151515,0.4689393939393939,0.531060606060606,1320.0
nov21,34.526315789473685,0.0014619883040935,0.4707602339181286,0.5292397660818714,1368.0
oct21,34.793352601156066,0.0036127167630057,0.4761560693641618,0.5238439306358381,1384.0
sep21,33.9150467962563,0.0021598272138228,0.4852411807055435,0.5147588192944564,1389.0
aug21,33.624011502516176,0.0028756290438533,0.4888569374550683,0.5111430625449317,1391.0
jul21,34.38604651162791,0.0015503875968992,0.5100775193798449,0.489922480620155,1290.0
jun21,33.780325443786985,0.0007396449704142,0.4985207100591716,0.5014792899408284,1352.0
may21,33.63060498220641,0.0028469750889679,0.5039145907473309,0.496085409252669,1405.0
apr21,33.26512576478586,0.0013596193065941,0.4887831407205982,0.5112168592794017,1471.0
mar21,33.290637191157344,0.0013003901170351,0.4700910273081924,0.5299089726918076,1538.0
feb21,33.34808067664281,0.0006506180871828,0.4599869876382563,0.5400130123617437,1537.0
jan21,34.785616438356165,0.0013698630136986,0.4541095890410959,0.5458904109589041,1460.0
dec20,35.55622188905547,0.0014992503748125,0.4610194902548725,0.5389805097451275,1334.0
nov20,35.229395604395606,0.0013736263736263,0.4732142857142857,0.5267857142857143,1456.0
oct20,35.81643472498343,0.002650762094102,0.465871438038436,0.534128561961564,1509.0
sep20,34.9041958041958,0.0,0.4545454545454545,0.5454545454545454,1430.0
aug20,34.89071487263763,0.0041084634346754,0.4831552999178307,0.5168447000821693,1217.0
jul20,35.55213055303717,0.0036264732547597,0.4941069809610154,0.5058930190389845,1103.0
jun20,35.33964049195837,0.0009460737937559,0.5165562913907285,0.4834437086092715,1057.0
